exp.name	strain	spore.strain	spore.species	dose	spores	fixing.date	slide	file	worm.number	area	percent.infected	area.infected	timepoint
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	35	65935.68	0.01	6.593568	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	36	51436.66	1.09	560.659594	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	37	65682.57	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	38	51770.57	2.17	1123.421369	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	39	68364.55	5.49	3753.213795	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	40	51258.58	6.82	3495.835156	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	41	61134.83	4.09	2500.414547	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	42	55342.15	2.46	1361.41689	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	43	53907.58	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	44	62722.75	4.53	2841.340575	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	45	53185.35	4.91	2611.400685	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	46	65682.57	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	47	60141.35	4.26	2562.02151	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	48	65638.05	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	49	66291.85	5.58	3699.08523	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	50	60185.05	5.71	3436.566355	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	1	62445.73	15.49	9672.843577	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	2	58703.49	11.87	6968.104263	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	3	63452.4	0.12	76.14288	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	4	54622.39	8.85	4834.081515	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	5	65552.31	1.52	996.395112	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	6	78878.94	0	0	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	7	59156.12	8.81	5211.654172	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	8	56633.26	0	0	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	9	57795.75	5.82	3363.71265	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	10	44715.63	7.17	3206.110671	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	11	59545.26	15.46	9205.697196	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	12	58471.81	10.21	5969.971801	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	13	65930.74	4.75	3131.71015	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	14	80168.41	1.35	1082.273535	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	15	61907.35	7.75	4797.819625	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	16	67617.59	12.85	8688.860315	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	17	63649.45	0	0	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	18	62533.95	1.44	900.48888	72hpi
AWR145-LUAm1-1.8	AWR145	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR145.LUAm1.rep1	19	62992.35	0.83	522.836505	72hpi
